product_name,barcode
IKHLAS OIL,4.36918E+12
HABIB OIL,6.297E+12
KISAN OIL,1.78611E+12
SOYA SUPREME OIL,8.964E+12
DALDA OIL,8.9611E+12
EVA COOKING,8.964E+12
TULLO GHEE,8.9611E+12
IKHLAS GHEE,4.36918E+12
KISAN GHEE,
HABIB GHEE,8.2254E+11
MEZAN GHEE,8.964E+12
DALDA GHEE,8.9611E+12
MOONG CHILKE WALI,9.18773E+11
CHANA DAAL,9.32029E+11
SABUT MASOOR,2.62753E+11
MASOOR DAAL,
MOONG,5.30416E+11
MASH DAAL,6.76177E+11
KALA CHANA,2.56323E+11
SUJI,3.38198E+11
BESAN,9.51447E+11
QUICE 800 ML,8.966E+12
JAM-E-SHIRIN 800 ML,8.55434E+11
ROOH AFZA 800 ML,8.964E+12
NESCAFE BLACK 50G,7.891E+12
JAM-E-SHIRIN 1.50 LTRS,8.55434E+11
ROOH AFZA 1.50 LTRS,8.964E+12
ROOH AFZA 3 LTRS,8.964E+12
EVERYDAY 230G,2.51359E+11
EVERYDAY 560G,8.96101E+12
EVERYDAY 1 KG,8.96101E+12
NATIONAL SALT 800G,6.20514E+11
SHANGRILA 800G TOMATO,8.964E+12
SHANGRILA 400G TOMATO,8.964E+12
SHANGRILA 800G CHILLI GARLIC,8.964E+12
SHANGRILA 400G CHILLI GARLIC,8.964E+12
NATIONAL 400G TOMATO,6.20514E+11
NATIONAL 800G TOMATO,6.20514E+11
YOUNG'S 200 ML MAYO,8.964E+12
RAFHAN CUSTARD 250G,8.96101E+12
LAZIZA KHEER MIX 155G,5.02822E+12
HAPPY HOME RUS MALAI 75G,5.51312E+11
BONUS,8.88695E+12
BONUS SACHET,5.94847E+11
EXPRESS,8.88695E+12
EXPRESS 500G,4.88978E+11
BRITE,8.88695E+12
BRITE 500G,5.26421E+11
EXCEL,8.96101E+12
EXCEL 500G,8.69271E+11
ARIEL 1 KG,8.00184E+12
ARIEL 500G,3.15623E+11
ARIEL SACHET,3.85817E+11
MAX (3 BARS) SINGLE,8.88695E+12
MAX BAR (3 BARS) DOUBLE,8.88695E+12
LEMON MAX LIQUID 275 ML,1.61428E+11
LEMON MAX 750 ML,7.54232E+11
MAX KATORI 400G,6.45867E+11
MAX KATORI 200G,1.66697E+11
SENSODYNE RA 70G,9.20048E+12
TISSUE TULIP,5.70156E+11
TISSUE ROSE PETAL POP-UP,8.96101E+12
FOOTBALL MATCHES,3.2497E+11
TAPAL DD TEABAG (100 PACKS),8.15096E+11
TAPAL 900G FM,8.9611E+12
TANG SACHET,6.68741E+11
TAPAL 900G DD,8.9611E+12
TAPAL FM 430G,8.9611E+12
LIFEBUOY 170 ML,8.96101E+12
TISSUE ROSE PETAL MAXOB TOILET ROLL,1.10067E+11
JAM-E-SHIRIN 3 LTRS,8.55434E+11
TAPAL DD 170G,8.9611E+12
TAPAL 85G DD,8.9611E+12
KANWAL 170G,8.10093E+11
QUICE 3 LTRS,8.964E+12
PAKOLA SYRUP 800 ML,8.964E+12
KANWAL 900G,8.10093E+11
KANWAL 430G,8.10093E+11
COLGATE 75G TP,8.88695E+12
DOCTOR 65G TP,8.964E+12
HEAD & SHOULDERS 185 ML,8.00184E+12
LIFEBUOY 98G,8.96101E+12
LUX 128G,5.67285E+11
LUX 98G,8.96101E+12
PALMOLIVE 130G,1.47241E+11
AGARBATI METROMILAN +7,2.1875E+11
EXCEL SACHET,1.02345E+11
SURAJ RICE,2.74921E+11
BAJRA,4.22794E+11
NATIONAL 800G CHILLI GARLIC,6.20514E+11
NATIONAL 400G CHILLI GARLIC,6.20514E+11
TARANG MILK 220 ML,8.964E+12
SHAN ACCHAR GOSHT SACHET,6.79955E+11
DOVE 100G,7.83068E+11
RESHAM FINE ATTA,7.15955E+11
SUNSIP LIMO PANI 375G,3.5312E+11
TIBET 70G,8.964E+12
TIBET 130G,8.964E+12
KEY CHILLI SAUCE TRIO PACK 120 ML,6.28479E+12
SHAN EASY COOK HALEEM 300G,7.88821E+11
COMELLE 397G SWEETENED MILK,8.964E+12
TAPAL TEABAGS (25 PACKS),123456789
YOUNG'S CHICKEN SPREAD 200 ML,8.964E+12
CHICKEN SPREAD YOUNG'S 500 ML,8.964E+12
LIFEBUOY HERBAL 370 ML,8.96101E+12
DOCTOR 180GMS WITH TB TP,5.11773E+11
LAL LOBYA,1.46313E+11
SHAN CHAT MASALA SACHET,6.11455E+11
KEY CHILLI SAUCE TRIO PACK 300 ML,6.2848E+12
LIFEBUOY ONION 175 ML,5.84529E+11
COLGATE 40G TP,8.88695E+12
SUNSILK 80 ML,8.96101E+12
SPAGHETTI SADA 500G,8.964E+12
VITAL TEA 170G,8.964E+12
SUFI SURF 1 KG,8.964E+12
SUFI 10G SACHET,8.54068E+11
SUFI 20G SACHET,2.23873E+11
MILLAC TEA WHITENER 850G,8.964E+12
MILLAC MILK POWDER 900G,8.964E+12
MEDICAM HERBAL 75G TP,6.2911E+12
MEZAN OIL,8.964E+12
MEDICAM 65G TP,6.2911E+12
