product_name,barcode
IKHLAS OIL,4369179812026
HABIB OIL,6297000027043
KISAN OIL,1786111100158
SOYA SUPREME OIL,8964000006054
DALDA OIL,8961100502813
EVA COOKING,8964000002025
TULLO GHEE,8961100501281
IKHLAS GHEE,4369179812019
KISAN GHEE,
HABIB GHEE,822540213462
MEZAN GHEE,8964000419137
DALDA GHEE,8961100502790
MOONG CHILKE WALI,918773440011
CHANA DAAL,932029040530
SABUT MASOOR,262752850624
MASOOR DAAL,
MOONG,530416085815
MASH DAAL,676176688490
KALA CHANA,256322675179
SUJI,338197769283
BESAN,951446543398
QUICE 800 ML,8966000005204
JAM-E-SHIRIN 800 ML,855434000016
ROOH AFZA 800 ML,8964000122105
NESCAFE BLACK 50G,7891000312704
JAM-E-SHIRIN 1.50 LTRS,855434000665
ROOH AFZA 1.50 LTRS,8964000122112
ROOH AFZA 3 LTRS,8964000122129
EVERYDAY 230G,251358896906
EVERYDAY 560G,8961008219363
EVERYDAY 1 KG,8961008210025
NATIONAL SALT 800G,620514001142
SHANGRILA 800G TOMATO,8964000020364
SHANGRILA 400G TOMATO,8964000020357
SHANGRILA 800G CHILLI GARLIC,8964000020531
SHANGRILA 400G CHILLI GARLIC,8964000020487
NATIONAL 400G TOMATO,620514019208
NATIONAL 800G TOMATO,620514005836
YOUNG'S 200 ML MAYO,8964000061107
RAFHAN CUSTARD 250G,8961014018219
LAZIZA KHEER MIX 155G,5028217000991
HAPPY HOME RUS MALAI 75G,551312002872
BONUS,8886950013848
BONUS SACHET,594846940714
EXPRESS,8886950012148
EXPRESS 500G,488978004728
BRITE,8886950011066
BRITE 500G,526421027384
EXCEL,8961014264814
EXCEL 500G,869270703724
ARIEL 1 KG,8001841256788
ARIEL 500G,315622727355
ARIEL SACHET,385817447176
MAX (3 BARS) SINGLE,8886950072203
MAX BAR (3 BARS) DOUBLE,8886950072210
LEMON MAX LIQUID 275 ML,161428089264
LEMON MAX 750 ML,754231867070
MAX KATORI 400G,645866723851
MAX KATORI 200G,166697123163
SENSODYNE RA 70G,9200475720705
TISSUE TULIP,570156005962
TISSUE ROSE PETAL POP-UP,8961006040044
FOOTBALL MATCHES,324969555981
TAPAL DD TEABAG (100 PACKS),815096000915
TAPAL 900G FM,8961103602008
TANG SACHET,668740551159
TAPAL 900G DD,8961103600493
TAPAL FM 430G,8961103600370
LIFEBUOY 170 ML,8961014261141
TISSUE ROSE PETAL MAXOB TOILET ROLL,110066902281
JAM-E-SHIRIN 3 LTRS,855434000733
TAPAL DD 170G,8961103600585
TAPAL 85G DD,8961103600578
KANWAL 170G,810093010110
QUICE 3 LTRS,8964000455210
PAKOLA SYRUP 800 ML,8964000661314
KANWAL 900G,810093010141
KANWAL 430G,810093010127
COLGATE 75G TP,8886950056036
DOCTOR 65G TP,8964000515013
HEAD & SHOULDERS 185 ML,8001841299181
LIFEBUOY 98G,8961014252255
LUX 128G,567284717425
LUX 98G,8961014255102
PALMOLIVE 130G,147241416785
AGARBATI METROMILAN +7,218749523667
EXCEL SACHET,102345409685
SURAJ RICE,274920631627
BAJRA,422794050961
NATIONAL 800G CHILLI GARLIC,620514008981
NATIONAL 400G CHILLI GARLIC,620514019222
TARANG MILK 220 ML,8964000146651
SHAN ACCHAR GOSHT SACHET,679955050262
DOVE 100G,783068114049
RESHAM FINE ATTA,715955250365
SUNSIP LIMO PANI 375G,353120115637
TIBET 70G,8964001024019
TIBET 130G,8964001024033
KEY CHILLI SAUCE TRIO PACK 120 ML,6284792268006
SHAN EASY COOK HALEEM 300G,788821151704
COMELLE 397G SWEETENED MILK,8964000707142
TAPAL TEABAGS (25 PACKS),123456789
YOUNG'S CHICKEN SPREAD 200 ML,8964000061534
CHICKEN SPREAD YOUNG'S 500 ML,8964000061541
LIFEBUOY HERBAL 370 ML,8961014262810
DOCTOR 180GMS WITH TB TP,511772866161
LAL LOBYA,146312917884
SHAN CHAT MASALA SACHET,611455383208
KEY CHILLI SAUCE TRIO PACK 300 ML,6284795397017
LIFEBUOY ONION 175 ML,584528585100
COLGATE 40G TP,8886950051420
SUNSILK 80 ML,8961014250503
SPAGHETTI SADA 500G,8964001311843
VITAL TEA 170G,8964000008102
SUFI SURF 1 KG,8964001276029
SUFI 10G SACHET,854068196877
SUFI 20G SACHET,223872816740
MILLAC TEA WHITENER 850G,8964000707708
MILLAC MILK POWDER 900G,8964000707029
MEDICAM HERBAL 75G TP,6291101523336
MEZAN OIL,8964000419731
MEDICAM 65G TP,6291101520113
SUFI UJALA SOAP (4 IN 1) 800G,212956160466
SUFI 500G,8964001276043
SHANGRILA SIRKA 700 ML,477878700621
SHANGRILA CHILLI SAUCE TRIO PACK 300 ML,601964177274
COMELLE 72G SWEETENED MILK,8964000707173
DOCTOR 90G,172629807792
DOCTOR 35G TP,8964000515006
NATIONAL 370G PICKLE,620514009728
NATIONAL 900G PICKLE,620514000701
FORHAN'S 65G TP,362068340358
HELLO 190 ML,8964003017309
MACRONI SADA 450GMS,1234865987230
TAPAL GREEN TEA JASMINE,815096000342
SAFEED LOBYA,717380018751
LAL MIRCH POWDER 100G,682158811990
HALDI POWDER 100G,686739642580
DHANYA SABUT 100G,466160243759
MIRCH CUTTER 100G,464158026932
SAFEED ZEERA 50G,944261394496
ZEERA POWDER 50G,162774549405
GARAM MASALA POWDER 50G,127795071873
GARAM MASALA SABUT 100G,689264799049
KALI MIRCH SABUT 50G,490734294776
ELAICHI 20G,229684932683
SAGU DANA 100G,871691578211
BADAM 50GMS SA,767545098043
SAFEED CHANA,156712596000
SET & TOUCH 190 ML,8964003015008
TAPAL GREEN TEA LEMON,8961103601063
MEDICAM 140G TP,6291101520151
MEDICAM 125G TP,0
CAPRI 120G PINK,8961100022540
